state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
mi,2011-2012,upper,SB 770,"State financing and management; bonds; school bond qualification, approval, and loan act; provide technical amendments. Amends secs. 3, 4, 5, 6, 7, 8, 9, 11, 13, 16 & 18 of 2005 PA 92 (MCL 388.1923 et seq.).  TIE BAR WITH: SB 0771'11, SB 0772'11",2011-10-21 00:59:39.828000,2013-01-03 19:32:28.001000,bill,State Agencies|Education
mi,2011-2012,upper,SB 771,"Education; financing; disposition of bond proceeds from school loan revolving fund bonds by state administrative board; provide for. Amends secs. 1, 2 & 4 of 1961 PA 112 (MCL 388.981 et seq.).  TIE BAR WITH: SB 0770'11, SB 0772'11",2011-10-21 00:59:39.863000,2013-01-03 19:32:28.020000,bill,State Agencies|Education
mi,2011-2012,upper,SB 772,"State financing and management; bonds; provision relating to purchase of qualified bonds of school district; modify. Amends secs. 7 & 8 of 1985 PA 227 (MCL 141.1057 & 141.1058).  TIE BAR WITH: SB 0770'11, SB 0771'11",2011-10-21 00:59:39.879000,2013-01-03 19:32:28.037000,bill,State Agencies
mi,2011-2012,upper,SB 773,Education; board members; ineligibility for membership on school board if immediate family member is employed by school district; provide for. Amends secs. 302 & 310 of 1954 PA 116 (MCL 168.302 & 168.310).,2011-10-21 00:59:39.890000,2012-12-13 02:27:04.034000,bill,Campaign Finance and Election Issues|Education|Legislative Affairs
mi,2011-2012,upper,SB 774,Civil procedure; small claims; representation by attorney in small claims court; allow. Amends secs. 8408 & 8412 of 1961 PA 236 (MCL 600.8408 & 600.8412).,2011-10-27 00:55:39.616000,2012-12-13 02:27:04.037000,bill,Other|Legal Issues|Judiciary
mi,2011-2012,upper,SB 775,Natural resources; hunting; use of certain firearms during firearm deer season; allow. Amends sec. 43526 of 1994 PA 451 (MCL 324.43526).,2011-10-27 00:55:39.644000,2012-12-13 02:27:04.040000,bill,Environmental|Animal Rights and Wildlife Issues|Guns
mi,2011-2012,upper,SB 776,Occupations; professional investigators; eligibility for license based on completion of degree or certification program; revise. Amends sec. 6 of 1965 PA 285 (MCL 338.826).,2011-10-27 00:55:39.668000,2012-12-13 02:27:04.044000,bill,Labor and Employment|Other
mi,2011-2012,upper,SB 777,Insurance; annuities; life insurance and annuity replacement regulation; enact. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding ch. 41C.,2011-10-27 00:55:39.679000,2012-12-13 02:27:04.048000,bill,Insurance
mi,2011-2012,upper,SB 778,Natural resources; inland lakes; public road access to lakes or streams; specify authorized uses. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 30111b.,2011-10-27 00:55:39.691000,2012-12-13 02:27:04.062000,bill,Environmental
mi,2011-2012,upper,SB 779,"Crimes; weapons; altering a firearm or an imitation firearm; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 225.",2011-10-27 00:55:39.719000,2012-12-13 02:27:04.088000,bill,Guns|Trade
