IDL000009,Denton Darrington,Denton,,Darrington,,,False,id,,,,e04e9995e6df41c09e35084c78d9f6a8,http://legislature.idaho.gov/images/Darrington80.jpg,2011-08-11 21:54:20.110000,2013-03-01 00:08:39.249000
IDL000032,Mitch Toryanski,Mitch,,Toryanski,,,False,id,,,,db45dfc6a5e14922bdc621461b40221c,http://legislature.idaho.gov/images/Toryanski1167.jpg,2011-08-11 21:54:20.230000,2013-03-01 00:08:39.251000
IDL000001,John C. Andreason,John,C.,Andreason,,,False,id,,,,8658732cdc094f6d959487754068fc2c,http://legislature.idaho.gov/images/Andreason71.jpg,2011-08-11 21:54:20.027000,2013-01-09 00:01:40.990000
IDL000003,Diane Bilyeu,Diane,,Bilyeu,,,False,id,,,,02dd336d85284f58aae77c75f123ad5a,http://legislature.idaho.gov/images/Bilyeu74.jpg,2011-08-11 21:54:20.082000,2013-01-09 00:01:40.882000
IDL000006,Joyce M. Broadsword,Joyce,M.,Broadsword,,,False,id,,,,6e191685a93048498158c9fe4cb00096,http://legislature.idaho.gov/images/Broadsword75.jpg,2011-08-11 21:54:20.095000,2013-01-09 00:01:40.883000
IDL000008,Tim Corder,Tim,,Corder,,,False,id,,,,04186c30d1df4a198a83304e1503d050,http://legislature.idaho.gov/images/Corder79.jpg,2011-08-11 21:54:20.106000,2013-01-09 00:01:40.991000
IDL000013,James C. Hammond,James,C.,Hammond,,,False,id,,,,25fa586c6a884896884361e764f73bd0,http://legislature.idaho.gov/images/Hammond86.jpg,2011-08-11 21:54:20.128000,2013-01-09 00:01:40.887000
IDL000017,Nicole LeFavour,Nicole,,LeFavour,,,False,id,,,,86c4818750534b03b3777029d86e6355,http://legislature.idaho.gov/images/LeFavour36.jpg,2011-08-11 21:54:20.145000,2013-01-09 00:01:40.889000
IDL000019,Edgar J. Malepeai,Edgar,J.,Malepeai,,,False,id,,,,9dc91e9a28d24118a9efd3fc836c41bb,http://legislature.idaho.gov/images/Malepeai95.jpg,2011-08-11 21:54:20.153000,2013-01-09 00:01:41.080000
IDL000020,John McGee,John,,McGee,,,False,id,,,,d4f58ae0ae7141f18c5af0aed9004699,http://legislature.idaho.gov/images/McGee96.jpg,2011-08-11 21:54:20.158000,2012-06-01 18:50:50.939000
IDL000021,Shirley McKague,Shirley,,McKague,,,False,id,,,,6a69e0adbc3543f69b1f535f5c0aefe4,http://legislature.idaho.gov/images/McKague97.jpg,2011-08-11 21:54:20.162000,2013-01-09 00:01:40.994000
IDL000028,Melinda S. Smyser,Melinda,S.,Smyser,,,False,id,,,,2b506fd46a254978b001c236a97b374a,http://legislature.idaho.gov/images/Smyser840.jpg,2011-08-11 21:54:20.214000,2013-01-09 00:01:41.012000
IDL000029,Joe Stegner,Joe,,Stegner,,,False,id,,,,cab67efa4f4949b186fa81884d4514a3,http://legislature.idaho.gov/images/Stegner103.jpg,2011-08-11 21:54:20.218000,2012-06-01 18:52:16.646000
IDL000044,Carlos Bilbao,Carlos,,Bilbao,,,False,id,,,,9c02ce1f5f9c442c9c8c153d1451a575,http://legislature.idaho.gov/images/Bilbao7.jpg,2011-08-11 21:54:20.334000,2013-01-09 00:01:40.931000
IDL000045,Max C. Black,Max,C.,Black,,,False,id,,,,d0b21b3269eb44cfa28cec0be464f20e,http://legislature.idaho.gov/images/Black8.jpg,2011-08-11 21:54:20.339000,2013-01-09 00:01:40.935000
IDL000046,Sharon L. Block,Sharon,L.,Block,,,False,id,,,,d1bd4452921f4888906074fe17477696,http://legislature.idaho.gov/images/Block9.jpg,2011-08-11 21:54:20.353000,2013-01-09 00:01:40.936000
IDL000051,Marge Chadderdon,Marge,,Chadderdon,,,False,id,,,,498ad8148c164cecb29012429f0efbeb,http://legislature.idaho.gov/images/Chadderdon16.jpg,2011-08-11 21:54:20.375000,2013-01-09 00:01:40.939000
IDL000055,Brian Cronin,Brian,,Cronin,,,False,id,,,,e9dac33ebd734e599b54f8ee63f9579e,http://legislature.idaho.gov/images/Cronin747.jpg,2011-08-11 21:54:20.392000,2013-01-09 00:01:40.942000
IDL000058,Julie Ellsworth,Julie,,Ellsworth,,,False,id,,,,29d0fab9b87b42b7bbea5b6ac745e4d0,http://legislature.idaho.gov/images/Ellsworth1176.jpg,2011-08-11 21:54:20.406000,2013-01-09 00:01:40.944000
IDL000063,Phil Hart,Phil,,Hart,,,False,id,,,,e20c1a3943ee4e08b3f8e861a2474ab4,http://legislature.idaho.gov/images/Hart26.jpg,2011-08-11 21:54:20.428000,2013-01-09 00:01:40.947000
IDL000065,R. J. Harwood,R. J.,,Harwood,,,False,id,,,,7309d9d784b84d25a3cb47224ca46cb9,http://legislature.idaho.gov/images/Harwood27.jpg,2011-08-11 21:54:20.437000,2013-01-09 00:01:40.948000
IDL000067,Elfreda Higgins,Elfreda,,Higgins,,,False,id,,,,5ce7bbe3081648359cd36e266f55eaa1,http://legislature.idaho.gov/images/Higgins755.jpg,2011-08-11 21:54:20.446000,2013-01-09 00:01:40.951000
IDL000068,Wendy Jaquet,Wendy,,Jaquet,,,False,id,,,,29994cf2a0034e9c8558217685493be0,http://legislature.idaho.gov/images/Jaquet30.jpg,2011-08-11 21:54:20.450000,2013-01-09 00:01:40.910000
IDL000069,William M. Killen,William,M.,Killen,,,False,id,,,,4fc6f80368bc40e8ab27ffe79bbfbfc6,http://legislature.idaho.gov/images/Killen31.jpg,2011-08-11 21:54:20.455000,2013-01-09 00:01:40.952000
