NHL000106,Helen M Deloge,Helen,M,Deloge,,,False,nh,,,,,,2011-06-21 18:49:57.026000,2013-01-04 00:08:31.588000
NHL000110,Rich T DiPentima,Rich,T,DiPentima,,,False,nh,,,,bca04f5967934be7ac1e06d8adb8191e,,2011-06-21 18:49:57.034000,2013-01-04 00:08:31.592000
NHL000112,Baldwin M Domingo,Baldwin,M,Domingo,,,False,nh,,,,,,2011-06-21 18:49:57.041000,2013-01-04 00:08:31.594000
NHL000113,Daniel A Donovan,Daniel,A,Donovan,,,False,nh,,,,272a34c0332f4036979cf654dd8f7a6c,,2011-06-21 18:49:57.043000,2013-01-04 00:08:31.595000
NHL000114,Patricia A Dowling,Patricia,A,Dowling,,,False,nh,,,,,,2011-06-21 18:49:57.045000,2013-01-04 00:08:31.596000
NHL000117,Richard J Dwinell,Richard,J,Dwinell,,,False,nh,,,,,,2011-06-21 18:49:57.067000,2013-01-04 00:08:31.599000
NHL000122,Duane H Erickson,Duane,H,Erickson,,,False,nh,,,,,,2011-06-21 18:49:57.078000,2013-01-04 00:08:31.606000
NHL000128,Joseph W Fleck,Joseph,W,Fleck,,,False,nh,,,,,,2011-06-21 18:49:57.090000,2013-01-04 00:08:31.611000
NHL000131,Robert A Fredette,Robert,A,Fredette,,,False,nh,,,,72836fe0e902481ba9b751b00014f887,,2011-06-21 18:49:57.117000,2013-01-04 00:08:31.668000
NHL000137,James M Garrity,James,M,Garrity,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/376581.jpg,2011-06-21 18:49:57.130000,2013-01-04 00:08:31.674000
NHL000141,John G Gimas,John,G,Gimas,,,False,nh,,,,2f10f9d802c9404abe10cdae97606ed8,,2011-06-21 18:49:57.148000,2013-01-04 00:08:31.677000
NHL000144,J. Brandon Giuda,J. Brandon,,Giuda,,,False,nh,,,,,,2011-06-21 18:49:57.155000,2013-01-04 00:08:31.680000
NHL000148,Franklin F Gould,Franklin,F,Gould,,,False,nh,,,,,,2011-06-21 18:49:57.163000,2013-01-04 00:08:31.683000
NHL000149,Kenneth H Gould,Kenneth,H,Gould,,,False,nh,,,,,,2011-06-21 18:49:57.165000,2012-06-05 19:09:12.476000
NHL000152,Phil J Greazzo,Phil,J,Greazzo,,,False,nh,,,,,,2011-06-21 18:49:57.171000,2013-01-04 00:08:31.691000
NHL000161,Harry B Hardwick,Harry,B,Hardwick,,,False,nh,,,,,,2011-06-21 18:49:57.199000,2013-01-04 00:08:31.701000
NHL000163,Samuel L Hawkes,Samuel,L,Hawkes,,,False,nh,,,,,,2011-06-21 18:49:57.203000,2013-01-04 00:08:31.703000
NHL000165,James F Headd,James,F,Headd,,,False,nh,,,,63b1148a813f4b238ad7530dbe7b7f6a,,2011-06-21 18:49:57.207000,2013-01-04 00:08:31.705000
NHL000168,Gregory Hill,Gregory,,Hill,,,False,nh,,,,,,2011-06-21 18:49:57.226000,2013-01-04 00:08:31.708000
NHL000174,Timothy Hogan,Timothy,,Hogan,,,False,nh,,,,,,2011-06-21 18:49:57.239000,2013-01-04 00:08:31.713000
NHL000181,Karen K Hutchinson,Karen,K,Hutchinson,,,False,nh,,,,37d8e08937634618ae6f3b6b546d8c01,,2011-06-21 18:49:57.257000,2013-01-04 00:08:31.720000
NHL000182,Winfred O Hutchinson,Winfred,O,Hutchinson,,,False,nh,,,,,,2011-06-21 18:49:57.271000,2013-01-04 00:08:31.721000
NHL000191,Kyle D Jones,Kyle,D,Jones,,,False,nh,,,,,,2011-06-21 18:49:57.293000,2013-01-04 00:08:31.728000
NHL000195,Phyllis M Katsakiores,Phyllis,M,Katsakiores,,,False,nh,,,,8b2dd41ead5e45b0919ffc2966493a6f,,2011-06-21 18:49:57.303000,2013-01-04 00:08:31.732000
NHL000204,Joseph F Krasucki,Joseph,F,Krasucki,,,False,nh,,,,a9c4fc9939cd4150b9820549fe4aea53,,2011-06-21 18:49:57.333000,2013-01-04 00:08:31.740000
NHL000207,Paul D LaCasse,Paul,D,LaCasse,,,False,nh,,,,,,2011-06-21 18:49:57.340000,2013-01-04 00:08:31.743000
NHL000210,Kirsten L Larsen Schultz,Kirsten,L,Larsen Schultz,,,False,nh,,,,730b6ee45ea04ab7853cf8992158d74b,,2011-06-21 18:49:57.347000,2013-01-04 00:08:31.746000
NHL000211,Kathleen A Lauer-Rago,Kathleen,A,Lauer-Rago,,,False,nh,,,,,,2011-06-21 18:49:57.349000,2013-01-04 00:08:31.747000
NHL000212,Thomas W Laware,Thomas,W,Laware,,,False,nh,,,,,,2011-06-21 18:49:57.351000,2013-01-04 00:08:31.748000
NHL000215,Frederick F Leonard,Frederick,F,Leonard,,,False,nh,,,,,,2011-06-21 18:49:57.358000,2013-01-04 00:08:32.001000
NHL000218,Steven W Lindsey,Steven,W,Lindsey,,,False,nh,,,,,,2011-06-21 18:49:57.365000,2013-01-04 00:08:31.751000
NHL000219,Mark H Lindsley,Mark,H,Lindsley,,,False,nh,,,,,,2011-06-21 18:49:57.367000,2013-01-04 00:08:31.752000
NHL000223,Charlene M Lovett,Charlene,M,Lovett,,,False,nh,,,,,,2011-06-21 18:49:57.376000,2013-01-04 00:08:31.756000
NHL000227,Bruce A MacMahon,Bruce,A,MacMahon,,,False,nh,,,,8c923b926b70420eb7414ed7cf40ac04,,2011-06-21 18:49:57.384000,2013-01-04 00:08:31.761000
NHL000229,Robert J Malone,Robert,J,Malone,,,False,nh,,,,,,2011-06-21 18:49:57.389000,2013-01-04 00:08:31.763000
NHL000230,Jonathan S Maltz,Jonathan,S,Maltz,,,False,nh,,,,8c6296a7625e4782833838d795c8a253,,2011-06-21 18:49:57.391000,2013-01-04 00:08:31.764000
NHL000232,Bruce Marcus,Bruce,,Marcus,,,False,nh,,,,,,2011-06-21 18:49:57.395000,2013-01-04 00:08:31.766000
