TXL000182,Kip Averitt,Kip,,Averitt,,,False,tx,,,,209c9c0bf0154bbe9b2aa2fe8dfc3216,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1060.jpg,2010-06-19 03:51:42.033000,2011-01-11 18:41:26.081000
TXL000192,Mario Gallegos Jr.,Mario,,Gallegos,Jr.,,False,tx,,,,95da767faccf4bf3991cdbbfb950ccbd,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1245.jpg,2010-06-19 03:51:42.068000,2013-01-09 00:29:36.965000
TXL000193,Chris Harris,Chris,,Harris,,,False,tx,,,,a2a82cbd5f484182b03b05e217bf7f46,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1215.jpg,2010-06-19 03:51:42.071000,2013-01-09 00:29:36.967000
TXL000197,Mike Jackson,Mike,,Jackson,,,False,tx,,,,de9e0b1f86a641aaab69487654600fbf,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1270.jpg,2010-06-19 03:51:42.081000,2013-01-09 00:29:36.968000
TXL000201,Steve Ogden,Steve,,Ogden,,,False,tx,,,,e20c0104b7144eca819f1580b7efb263,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1415.jpg,2010-06-19 03:51:42.090000,2013-01-09 00:29:36.969000
TXL000204,Florence Shapiro,Florence,,Shapiro,,,False,tx,,,,ea0128d15de0457a872c6623482e50a8,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1530.jpg,2010-06-19 03:51:42.098000,2013-01-09 00:29:36.971000
TXL000209,Jeff Wentworth,Jeff,,Wentworth,,,False,tx,,,,4c3c979d5c1d4d0993bce25ef24cb3e1,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1620.jpg,2010-06-19 03:51:42.110000,2013-01-09 00:29:36.972000
TXL000226,Fred Brown,Fred,,Brown,,,False,tx,,,,c6e88c42b8834e1a9bfad14b5e8020a1,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2270.jpg,2010-06-19 03:51:42.177000,2012-06-01 18:16:47.052000
TXL000230,Joaquin Castro,Joaquin,,Castro,,,False,tx,,,,c36e561731a94ffd94adb7c3487ef2b3,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2495.jpg,2010-06-19 03:51:42.186000,2013-01-09 00:29:36.914000
TXL000232,Warren Chisum,Warren,,Chisum,,,False,tx,,,,529f179bea874038946c4f6914e2c454,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2480.jpg,2010-06-19 03:51:42.191000,2013-01-09 00:29:36.915000
TXL000234,Ellen Cohen,Ellen,,Cohen,,,False,tx,,,,b82ad35f1ad1431ab535e13258cfc764,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2425.jpg,2010-06-19 03:51:42.196000,2011-01-11 18:41:26.067000
TXL000237,Frank Corte Jr.,Frank,,Corte,Jr.,,False,tx,,,,61f2517465bb4d1ba28bf3ca55f80a51,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2595.jpg,2010-06-19 03:51:42.203000,2011-01-11 18:41:26.066000
TXL000238,Joe Crabb,Joe,,Crabb,,,False,tx,,,,dbb71d9bed1d420eb13ce0586dddcca5,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2605.jpg,2010-06-19 03:51:42.205000,2011-01-11 18:41:26.066000
TXL000246,Joe Driver,Joe,,Driver,,,False,tx,,,,234563a6fa464532a6259311447e2b2a,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2705.jpg,2010-06-19 03:51:42.224000,2013-01-09 00:29:36.918000
TXL000248,Jim Dunnam,Jim,,Dunnam,,,False,tx,,,,d006c9636bd24db1aaa1e7d16ac6614d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2660.jpg,2010-06-19 03:51:42.248000,2011-01-11 18:41:26.076000
TXL000250,Al Edwards,Al,,Edwards,,,False,tx,,,,127641a808f84d6d902041d495ddda71,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2770.jpg,2010-06-19 03:51:42.252000,2011-01-11 18:41:26.068000
TXL000252,Rob Eissler,Rob,,Eissler,,,False,tx,,,,0e980152bb8946c9a6e80b8e77c91a73,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2780.jpg,2010-06-19 03:51:42.257000,2013-01-09 00:29:36.919000
TXL000259,Kino Flores,Kino,,Flores,,,False,tx,,,,30e23a0269ad4f6982151cdda68d9e14,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2840.jpg,2010-06-19 03:51:42.293000,2011-01-11 18:41:26.071000
TXL000261,Stephen Frost,Stephen,,Frost,,,False,tx,,,,474690e9e5ab4f65b5207d7897c42cc2,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2860.jpg,2010-06-19 03:51:42.298000,2011-01-11 18:41:26.052000
TXL000262,Pete Gallego,Pete,,Gallego,,,False,tx,,,,a3b765a5de644a35bd3962671fdf2c4d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2920.jpg,2010-06-19 03:51:42.300000,2013-01-09 00:29:36.920000
TXL000263,Dan Gattis,Dan,,Gattis,,,False,tx,,,,53b0ba67ff13496baac0980c583166a6,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2960.jpg,2010-06-19 03:51:42.302000,2011-01-11 18:41:26.068000
