ARL000108,Garry L. Smith,Garry L.,,Smith,,,False,ar,,,,a31498f41aa74850aff21298b5f1e3e0,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Smith_g.jpg,2011-05-31 16:27:50.748000,2013-01-10 00:09:05.623000
ARL000110,Tracy Steele,Tracy,,Steele,,,False,ar,,,,e5f222e6757646488921ec12a4323f43,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Steele_t.jpg,2011-05-31 16:27:50.785000,2013-01-10 00:09:05.627000
ARL000120,Charolette Wagner,Charolette,,Wagner,,,False,ar,,,,3fcc427767ee46968b5033fb825c4412,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Wagner.jpg,2011-05-31 16:27:50.808000,2013-01-10 00:09:05.665000
ARL000125,Ruth Whitaker,Ruth,,Whitaker,,,False,ar,,,,4a3415061f584a1f802fd8ace9765b90,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Whitaker.jpg,2011-05-31 16:27:50.820000,2013-01-10 00:09:05.669000
ARL000001,Fred Allen,Fred,,Allen,,,False,ar,,,,4adbd66e7577458583abe88403b4362f,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Allen.jpg,2011-05-31 16:27:50.077000,2013-01-10 00:09:05.385000
ARL000005,Gilbert Baker,Gilbert,,Baker,,,False,ar,,,,76a5b593a607456e813438eac959d28f,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Baker_g.jpg,2011-05-31 16:27:50.187000,2013-01-10 00:09:05.411000
ARL000012,Toni Bradford,Toni,,Bradford,,,False,ar,,,,46827660e0db48f8a22cfe52e39721ec,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Bradford_t.jpg,2011-05-31 16:27:50.248000,2013-01-10 00:09:05.421000
ARL000027,Jack Crumbly,Jack,,Crumbly,,,False,ar,,,,6010e7b88c5a4417a3d99ac2f7038351,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Crumbly.jpg,2011-05-31 16:27:50.314000,2013-01-10 00:09:05.443000
ARL000039,Mike Fletcher,Mike,,Fletcher,,,False,ar,,,,fc35cb5c4b1e41fba16c66972ba24874,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Fletcher.jpg,2011-05-31 16:27:50.393000,2013-01-10 00:09:05.456000
ARL000048,Kim Hendren,Kim,,Hendren,,,False,ar,,,,56a60da90d89462ca6fe73deea1d6ff0,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Hendren.jpg,2011-05-31 16:27:50.507000,2013-01-10 00:09:05.467000
ARL000054,Donna Hutchinson,Donna,,Hutchinson,,,False,ar,,,,ebe0e95036c44373b54ae2fc7a49ff3d,http://www.arkleg.state.ar.us/assembly/2011/Member%20Pictures/Hutchinson_d.jpg,2011-05-31 16:27:50.533000,2013-01-10 00:09:05.474000
