NEL000019,Mike Flood,Mike,,Flood,,,False,ne,,,,da8956cec04e41afad442906f47a81b4,http://www.nebraskalegislature.gov/media/images/blogs/dist19.jpg,2011-09-22 17:37:49.145000,2013-01-10 20:31:02.730000
NEL000052,R. Paul Lambert,R. Paul,,Lambert,,,False,ne,,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist02.jpg,2011-11-15 00:44:15.813000,2013-01-09 17:17:26.194000
NEL000001,Lavon Heidemann,Lavon,,Heidemann,,,False,ne,,,,6065cd8a44d64525aabba94591a2d9fa,http://www.nebraskalegislature.gov/media/images/blogs/dist01.jpg,2011-09-22 17:37:48.884000,2013-01-09 17:17:26.183000
NEL000002,Dave Pankonin,Dave,,Pankonin,,,False,ne,,,,7a01597e96ed4f6a8bf4e113e0e3c40a,,2011-09-22 17:37:48.894000,2012-02-22 21:11:56.382000
NEL000009,Gwen Howard,Gwen,,Howard,,,False,ne,,,,13114e7b42ce48ecbab33dc46df210d6,http://www.nebraskalegislature.gov/media/images/blogs/dist09.jpg,2011-09-22 17:37:48.966000,2013-01-09 17:17:26.184000
NEL000011,Brenda Council,Brenda,,Council,,,False,ne,,,,d3bbf6b3ffb74774ab5e4664e949797b,http://www.nebraskalegislature.gov/media/images/blogs/dist11.jpg,2011-09-22 17:37:48.999000,2013-01-09 17:17:26.185000
NEL000023,Chris Langemeier,Chris,,Langemeier,,,False,ne,,,,7eea0a11185040aa8698511987e65a07,http://www.nebraskalegislature.gov/media/images/blogs/dist23.jpg,2011-09-22 17:37:49.203000,2013-01-09 17:17:26.187000
NEL000029,Tony Fulton,Tony,,Fulton,,,False,ne,,,,6e6f4cfd749342e39c7677de52bcbeb0,http://www.nebraskalegislature.gov/media/images/blogs/dist29.jpg,2011-09-22 17:37:49.268000,2013-01-09 17:17:26.188000
NEL000031,Rich Pahls,Rich,,Pahls,,,False,ne,,,,73223788ac8d46a2b22c21c977278aa5,http://www.nebraskalegislature.gov/media/images/blogs/dist31.jpg,2011-09-22 17:37:49.295000,2013-01-09 17:17:26.189000
NEL000033,Dennis Utter,Dennis,,Utter,,,False,ne,,,,6bbb905110d44d6a98c127602169778e,,2011-09-22 17:37:49.315000,2012-02-22 21:12:37.897000
NEL000043,Deb Fischer,Deb,,Fischer,,,False,ne,,,,5de25ae2cfec44c8ae3282f69087df91,http://www.nebraskalegislature.gov/media/images/blogs/dist43.jpg,2011-09-22 17:37:49.416000,2013-01-09 17:17:26.190000
NEL000045,Abbie Cornett,Abbie,,Cornett,,,False,ne,,,,de34ac183f584e8d80479b051030cf72,http://www.nebraskalegislature.gov/media/images/blogs/dist45.jpg,2011-09-22 17:37:49.436000,2013-01-09 17:17:26.192000
NEL000049,LeRoy Louden,LeRoy,,Louden,,,False,ne,,,,e1debe9bcc344a1690a9dc5dcf6e156a,http://www.nebraskalegislature.gov/media/images/blogs/dist49.jpg,2011-09-22 17:37:49.544000,2013-01-09 17:17:26.193000
NEL000059,Jerry Johnson,Jerry,,Johnson,,,True,ne,upper,23,Nonpartisan,,,2013-01-09 17:17:25.946000,2013-03-01 00:55:22.447000
NEL000047,Ken Schilz,Ken,,Schilz,,,True,ne,upper,47,Nonpartisan,783f22a1553a41c2ae4998b78af42b75,http://www.nebraskalegislature.gov/media/images/blogs/dist47.jpg,2011-09-22 17:37:49.523000,2013-03-01 00:55:21.798000
NEL000015,Charlie Janssen,Charlie,,Janssen,,,True,ne,upper,15,Nonpartisan,41638dbf085b4bd8aa8c2759c7789302,http://www.nebraskalegislature.gov/media/images/blogs/dist15.jpg,2011-09-22 17:37:49.039000,2013-03-01 00:55:21.902000
NEL000021,Ken Haar,Ken,,Haar,,,True,ne,upper,21,Nonpartisan,e17f1f93182345e28d207cb6d5a32d41,http://www.nebraskalegislature.gov/media/images/blogs/dist21.jpg,2011-09-22 17:37:49.183000,2013-03-01 00:55:21.793000
NEL000061,Rick Kolowski,Rick,,Kolowski,,,True,ne,upper,31,Nonpartisan,,,2013-01-09 17:17:25.989000,2013-03-01 00:55:21.821000
NEL000037,Galen Hadley,Galen,,Hadley,,,True,ne,upper,37,Nonpartisan,cfca986d31504a0f8ce918f2b92530ad,http://www.nebraskalegislature.gov/media/images/blogs/dist37.jpg,2011-09-22 17:37:49.357000,2013-03-01 00:55:22.329000
NEL000018,Scott Lautenbaugh,Scott,,Lautenbaugh,,,True,ne,upper,18,Nonpartisan,5f40bd89356b446fb01be247108e97b6,http://www.nebraskalegislature.gov/media/images/blogs/dist18.jpg,2011-09-22 17:37:49.134000,2013-03-01 00:55:22.351000
NEL000064,John Murante,John,,Murante,,,True,ne,upper,49,Nonpartisan,,,2013-01-09 17:17:26.114000,2013-03-01 00:55:22.346000
NEL000062,Al Davis,Al,,Davis,,,True,ne,upper,43,Nonpartisan,,,2013-01-09 17:17:26.082000,2013-03-01 00:55:22.569000
NEL000054,Dan Watermeier,Dan,,Watermeier,,,True,ne,upper,1,Nonpartisan,,,2013-01-09 17:17:25.829000,2013-03-01 00:55:22.502000
NEL000040,Tyson Larson,Tyson,,Larson,,,True,ne,upper,40,Nonpartisan,a0f6af0048194ccabea568087774293d,http://www.nebraskalegislature.gov/media/images/blogs/dist40.jpg,2011-09-22 17:37:49.387000,2013-03-01 00:55:21.539000
NEL000060,Kate Bolz,Kate,,Bolz,,,True,ne,upper,29,Nonpartisan,,,2013-01-09 17:17:25.979000,2013-03-01 00:55:21.428000
