state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
sd,2011,lower,HB 1230,"establish the large project development fund, to provide for its administration, and to make an appropriation therefor.",2011-02-01 01:26:28.144000,2011-04-26 05:49:51.662000,bill,"Commerce|State Agencies|Other|Budget, Spending, and Taxes"
sd,2011,lower,HB 1231,"provide for the sale of certain surplus real estate, to appropriate the proceeds to the revolving economic development and initiative fund, and to revise certain provisions relating to the sale of certain surplus property.",2011-02-01 01:26:28.146000,2011-06-12 06:58:29.833000,bill,"Commerce|State Agencies|Other|Budget, Spending, and Taxes|Housing and Property"
sd,2011,lower,HB 1232,"provide for the sale of certain surplus real estate, to provide for the deposit of the proceeds, and to revise certain provisions relating to the sale of certain surplus property.",2011-02-01 01:26:28.149000,2011-04-26 05:49:51.691000,bill,Housing and Property|State Agencies|Other
sd,2011,lower,HB 1233,limit liability from damages caused by certain aviation products.,2011-02-01 01:26:28.150000,2011-04-26 05:49:51.700000,bill,Other|Judiciary|Civil Liberties and Civil Rights
sd,2011,lower,HB 1234,repeal the requirement for certain reports to be made to the Board of Economic Development.,2011-02-01 01:26:28.152000,2011-04-26 05:49:51.718000,bill,State Agencies|Other
sd,2011,lower,HB 1235,create the Board of Regents performance improvement fund and make an appropriation therefor.,2011-02-01 01:26:28.155000,2011-04-26 05:49:51.730000,bill,Commerce|State Agencies|Education
sd,2011,lower,HB 1236,provide for a temporary decrease of legislator salaries.,2011-02-01 01:26:28.158000,2011-04-26 05:49:51.738000,bill,Labor and Employment|Public Services|Legislative Affairs
sd,2011,lower,HB 1237,provide for an individual mandate to adult citizens to provide for the self defense of themselves and others.,2011-02-01 01:26:28.171000,2011-04-26 05:49:51.742000,bill,Guns|Civil Liberties and Civil Rights
sd,2011,lower,HB 1238,revise who may be issued special alcoholic beverage licenses in conjunction with a special event and to require local governing bodies to establish rules regulating and restricting the operation of special alcoholic beverage licenses.,2011-02-01 01:26:28.174000,2011-04-26 05:49:51.746000,bill,Other|Municipal and County Issues
sd,2011,lower,HB 1239,increase the amount transferred from the health care and education enhancement trust funds.,2011-02-01 01:26:28.176000,2011-04-26 05:49:51.760000,bill,"Budget, Spending, and Taxes"
sd,2011,lower,HB 1240,exempt certain sales of non-temperature-controlled baked goods from certain licensing requirements.,2011-02-01 01:26:28.179000,2011-06-12 06:58:29.965000,bill,State Agencies|Other|Health
sd,2011,lower,HB 1241,revise certain penalties for the sale or service of an alcoholic beverage to a person under the age of twenty-one.,2011-02-01 01:26:28.181000,2011-04-26 05:49:51.772000,bill,Other|Family and Children Issues
sd,2011,lower,HB 1242,authorize the use of tribal identification cards as the equivalent of certain state-issued documents for identification purposes.,2011-02-01 01:26:28.183000,2011-04-26 05:49:51.781000,bill,Other|Indigenous Peoples
sd,2011,lower,HB 1243,revise the property tax levies for the general fund of a school district.,2011-02-01 01:26:28.185000,2011-04-26 05:49:51.798000,bill,"Housing and Property|Education|Other|Budget, Spending, and Taxes"
sd,2011,lower,HB 1244,make an appropriation for costs related to disasters in the state.,2011-02-01 01:26:28.187000,2011-04-26 05:49:51.807000,bill,Commerce|State Agencies|Other
sd,2011,lower,HB 1245,revise certain provisions regarding the travel reimbursements for county veterans' service officers.,2011-02-01 01:26:28.189000,2011-04-26 05:49:51.820000,bill,Military|Municipal and County Issues
sd,2011,lower,HB 1246,"make an appropriation to reimburse certain family physicians, midlevel practitioners, and dentists who have complied with the requirements of the physician tuition reimbursement program, the midlevel tuition reimbursement program, and the dental tuition reimbursement program.",2011-02-01 01:26:28.191000,2011-04-26 05:49:51.840000,bill,Commerce|Other|Health|Labor and Employment
sd,2011,lower,HB 1247,make an appropriation to fund property and sales tax refunds for certain elderly persons and persons with a disability.,2011-02-01 01:26:28.193000,2011-04-26 05:49:51.848000,bill,"Commerce|Other|Budget, Spending, and Taxes|Housing and Property"
sd,2011,lower,HB 1248,extend the sunset of the one-half percent increase in the gross receipts tax imposed on visitor-related businesses.,2011-02-01 01:26:28.195000,2011-08-01 07:49:08.219000,bill,"State Agencies|Other|Budget, Spending, and Taxes"
sd,2011,lower,HB 1249,authorize a carryover of the fiscal year 2011 state aid to special education appropriation to fiscal year 2012.,2011-02-01 01:26:28.197000,2011-04-26 05:49:51.881000,bill,Education|Other
sd,2011,lower,HB 1250,revise certain provisions regarding the South Dakota opportunity scholarship program.,2011-02-01 01:26:28.199000,2011-04-26 05:49:51.884000,bill,State Agencies|Education|Other
sd,2011,lower,HB 1251,"appropriate money for the ordinary expenses of the legislative, judicial, and executive departments of the state, the expenses of state institutions, interest on the public debt, and for common schools.",2011-02-01 01:26:28.211000,2011-04-26 05:49:51.893000,bill,"Commerce|State Agencies|Other|Budget, Spending, and Taxes"
