state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
al,2012rs,lower,HB 352,ALV00003507,upper,"Marsh motion to Accede adopted Roll Call 1443 P&PO appoints Orr, Brewbaker and Ross",2012-05-16 00:00:00,other,22,0,13
al,2012rs,lower,HB 433,ALV00003508,lower,"Barton motion to Non Concur and Appoint Conference Committee adopted Roll Call 1529 House appoints Barton, Love and Hall",2012-05-16 00:00:00,other,89,0,16
al,2012rs,lower,HB 433,ALV00003509,upper,"Marsh motion to Accede adopted Roll Call 1412 P&PO appoints Orr, Marsh and Bedford",2012-05-16 00:00:00,other,29,1,5
al,2012rs,lower,HB 454,ALV00003510,lower,Wood motion to Concur In and Adopt adopted Roll Call 1537,2012-05-16 00:00:00,other,87,0,18
al,2012rs,lower,HB 468,ALV00003511,upper,Motion to Read a Third Time and Pass adopted Roll Call 1420,2012-05-16 00:00:00,other,35,0,0
al,2012rs,lower,HB 518,ALV00003512,lower,Wren motion to Concur In and Adopt adopted Roll Call 1572,2012-05-16 00:00:00,other,95,1,9
al,2012rs,lower,HB 562,ALV00003513,lower,"Barton motion to Non Concur and Appoint Conference Committee adopted Roll Call 1545 House appoints  House appoints Barton, Clouse and Hall",2012-05-16 00:00:00,other,91,0,14
al,2012rs,lower,HB 562,ALV00003514,upper,"Marsh motion to Accede adopted Roll Call 1444 P&PO appoints Marsh, Keahey and Orr",2012-05-16 00:00:00,other,22,0,13
al,2012rs,lower,HB 596,ALV00003515,upper,Motion to Read a Third Time and Pass adopted Roll Call 1422,2012-05-16 00:00:00,other,33,0,2
al,2012rs,lower,HB 607,ALV00003516,lower,Clouse motion to Concur In and Adopt adopted Roll Call 1546,2012-05-16 00:00:00,other,96,0,9
al,2012rs,lower,HB 625,ALV00003517,lower,Ball motion to Concur In and Adopt adopted Roll Call 1541,2012-05-16 00:00:00,other,76,2,27
al,2012rs,lower,HB 658,ALV00003518,upper,Beason motion to Adopt adopted Roll Call 1403,2012-05-16 00:00:00,other,20,11,4
al,2012rs,lower,HB 658,ALV00003519,upper,Sanford motion to Adopt adopted Roll Call 1404,2012-05-16 00:00:00,other,19,15,1
al,2012rs,lower,HB 658,ALV00003520,upper,Beason motion to Table adopted Roll Call 1405,2012-05-16 00:00:00,other,18,12,5
al,2012rs,lower,HB 658,ALV00003521,upper,Beason motion to Table adopted Roll Call 1406,2012-05-16 00:00:00,other,16,12,7
al,2012rs,lower,HB 658,ALV00003522,upper,Marsh motion to Adopt adopted Roll Call 1407,2012-05-16 00:00:00,other,31,0,4
al,2012rs,lower,HB 658,ALV00003523,upper,Beason motion to Table lost Roll Call 1408,2012-05-16 00:00:00,other,15,18,2
al,2012rs,lower,HB 658,ALV00003524,upper,Bedford motion to Adopt lost Roll Call 1409,2012-05-16 00:00:00,other,15,18,2
al,2012rs,lower,HB 658,ALV00003525,upper,Petition to cease debate adopted Roll Call 1410,2012-05-16 00:00:00,other,21,13,1
al,2012rs,lower,HB 658,ALV00003526,upper,Motion to Read a Third Time and Pass adopted Roll Call 1411,2012-05-16 00:00:00,other,20,7,7
al,2012rs,lower,HB 658,ALV00003527,lower,Hammon motion to Table adopted Roll Call 1558,2012-05-16 00:00:00,other,64,36,5
al,2012rs,lower,HB 658,ALV00003528,lower,Buttram motion to Previous Question adopted Roll Call 1559,2012-05-16 00:00:00,other,61,28,16
al,2012rs,lower,HB 658,ALV00003529,lower,Hammon motion to Concur In and Adopt adopted Roll Call 1560,2012-05-16 00:00:00,other,67,37,1
al,2012rs,lower,HB 662,ALV00003530,lower,Thomas motion to Concur In and Adopt adopted Roll Call 1575,2012-05-16 00:00:00,other,87,0,18
al,2012rs,lower,HB 685,ALV00003531,upper,Dial motion to Adopt adopted Roll Call 1437,2012-05-16 00:00:00,other,23,1,11
al,2012rs,lower,HB 685,ALV00003532,upper,Motion to Read a Third Time and Pass adopted Roll Call 1438,2012-05-16 00:00:00,other,23,1,11
al,2012rs,lower,HB 685,ALV00003533,lower,Rogers motion to Concur In and Adopt adopted Roll Call 1579,2012-05-16 00:00:00,other,84,3,18
al,2012rs,lower,HB 688,ALV00003534,upper,Figures motion to Adopt adopted Roll Call 1450,2012-05-16 00:00:00,other,26,3,6
al,2012rs,lower,HB 688,ALV00003535,upper,Bedford motion to Adopt adopted Roll Call 1451,2012-05-16 00:00:00,other,26,3,6
al,2012rs,lower,HB 688,ALV00003536,upper,Keahey motion to Adopt adopted Roll Call 1452,2012-05-16 00:00:00,other,26,3,6
al,2012rs,lower,HB 688,ALV00003537,upper,Sanders motion to Adopt adopted Roll Call 1453,2012-05-16 00:00:00,other,26,3,6
al,2012rs,lower,HB 696,ALV00003538,lower,Barton motion to Concur In and Adopt adopted Roll Call 1571,2012-05-16 00:00:00,other,99,0,6
al,2012rs,lower,HB 719,ALV00003539,upper,Motion to Read a Third Time and Pass adopted Roll Call 1424,2012-05-16 00:00:00,other,31,0,4
al,2012rs,lower,HB 738,ALV00003540,upper,Motion to Read a Third Time and Pass adopted Roll Call 1440,2012-05-16 00:00:00,other,20,1,14
al,2012rs,lower,HB 741,ALV00003541,lower,Baughn motion to Concur In and Adopt adopted Roll Call 1538,2012-05-16 00:00:00,other,82,0,23
al,2012rs,lower,HB 748,ALV00003542,upper,Motion to Read a Third Time and Pass adopted Roll Call 1426,2012-05-16 00:00:00,other,27,0,8
al,2012rs,lower,HB 764,ALV00003543,upper,Motion to Read a Third Time and Pass adopted Roll Call 1429,2012-05-16 00:00:00,other,26,0,9
al,2012rs,lower,HB 770,ALV00003544,upper,Dial motion to Adopt adopted Roll Call 1431,2012-05-16 00:00:00,other,24,0,11
al,2012rs,lower,HB 770,ALV00003545,upper,Motion to Read a Third Time and Pass adopted Roll Call 1432,2012-05-16 00:00:00,other,24,0,11
al,2012rs,lower,HB 770,ALV00003546,lower,Lindsey motion to Concur In and Adopt adopted Roll Call 1574,2012-05-16 00:00:00,other,73,0,32
al,2012rs,lower,HB 776,ALV00003547,lower,Chesteen motion to Concur In and Adopt adopted Roll Call 1539,2012-05-16 00:00:00,other,77,0,28
al,2012rs,lower,HB 782,ALV00003548,upper,Motion to Read a Third Time and Pass adopted Roll Call 1434,2012-05-16 00:00:00,other,22,0,13
al,First Special Session 2012,upper,SR 2,ALV00003549,upper,Waggoner motion to Adopt adopted Roll Call 8,2012-05-21 00:00:00,other,19,2,14
al,First Special Session 2012,upper,SB 25,ALV00003550,upper,Singleton motion to Adopt lost Roll Call 9,2012-05-21 00:00:00,other,13,21,1
al,First Special Session 2012,upper,SB 25,ALV00003551,upper,Sanders motion to Adopt lost Roll Call 10,2012-05-21 00:00:00,other,13,21,1
al,First Special Session 2012,upper,SB 25,ALV00003552,upper,Smitherman motion to Adopt lost Roll Call 11,2012-05-21 00:00:00,other,12,20,3
al,First Special Session 2012,lower,HB 1,ALV00003553,lower,Motion to Read a Third Time and Pass adopted Roll Call 3,2012-05-21 00:00:00,other,41,0,64
al,First Special Session 2012,lower,HB 2,ALV00003554,lower,Motion to Read a Third Time and Pass adopted Roll Call 4,2012-05-21 00:00:00,other,35,0,70
al,First Special Session 2012,lower,HB 4,ALV00003555,lower,Motion to Read a Third Time and Pass adopted Roll Call 1,2012-05-21 00:00:00,other,64,0,41
al,First Special Session 2012,lower,HB 12,ALV00003556,lower,Motion to Adopt adopted Roll Call 16,2012-05-21 00:00:00,other,101,1,3
al,First Special Session 2012,lower,HB 12,ALV00003557,lower,Motion to Read a Third Time and Pass adopted Roll Call 17,2012-05-21 00:00:00,other,101,1,3
al,First Special Session 2012,lower,HB 13,ALV00003558,lower,Motion to Adopt adopted Roll Call 13,2012-05-21 00:00:00,other,100,0,5
al,First Special Session 2012,lower,HB 13,ALV00003559,lower,Motion to Adopt adopted Roll Call 14,2012-05-21 00:00:00,other,101,0,4
al,First Special Session 2012,lower,HB 13,ALV00003560,lower,Motion to Read a Third Time and Pass adopted Roll Call 15,2012-05-21 00:00:00,other,100,0,5
