leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ALL000049,member,2011-2014,40,lower,al,Republican,,,,,
ALL000049,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000049,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000049,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000057,member,2011-2014,8,lower,al,Republican,,,,,
ALL000057,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000057,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000057,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000060,member,2011-2014,46,lower,al,Republican,,,,,
ALL000060,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000060,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000060,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000061,member,2011-2014,45,lower,al,Republican,,,,,
ALL000061,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000061,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000061,committee member,2011-2014,,lower,al,,ALC000026,Military and Veterans' Affairs,,,
ALL000061,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000061,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000062,member,2011-2014,70,lower,al,Democratic,,,,,
ALL000062,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000062,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000062,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000062,committee member,2011-2014,,lower,al,,ALC000023,Tuscaloosa County Legislation,,,
ALL000063,member,2011-2014,15,lower,al,Republican,,,,,
ALL000063,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000063,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000063,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000070,member,2011-2014,60,lower,al,Democratic,,,,,
ALL000070,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000070,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000070,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000076,member,2011-2014,61,lower,al,Republican,,,,,
ALL000076,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000076,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000076,committee member,2011-2014,,lower,al,,ALC000023,Tuscaloosa County Legislation,,,
ALL000077,member,2011-2014,9,lower,al,Republican,,,,,
ALL000077,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000077,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000077,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000078,member,2011-2014,41,lower,al,Republican,,,,,
ALL000078,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000078,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000078,committee member,2011-2014,,lower,al,,ALC000029,Shelby County Legislation,,,
ALL000080,member,2011-2014,72,lower,al,Democratic,,,,,
ALL000080,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000080,committee member,2011-2014,,lower,al,,ALC000026,Military and Veterans' Affairs,,,
ALL000080,committee member,2011-2014,,lower,al,,ALC000012,Ethics and Campaign Finance,,,
ALL000081,member,2011-2014,73,lower,al,Democratic,,,,,
ALL000081,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000081,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000081,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000083,member,2011-2014,35,lower,al,Republican,,,,,
ALL000083,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000083,committee member,2011-2014,,lower,al,,ALC000027,Financial Services,,,
ALL000083,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000084,member,2011-2014,101,lower,al,Republican,,,,,
ALL000084,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000084,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000084,committee member,2011-2014,,lower,al,,ALC000011,Internal Affairs,,,
ALL000084,committee member,2011-2014,,lower,al,,ALC000002,Mobile County Legislation,,,
ALL000085,member,2011-2014,68,lower,al,Democratic,,,,,
ALL000085,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000085,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000087,member,2011-2014,33,lower,al,Republican,,,,,
ALL000087,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000087,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000087,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000088,member,2011-2014,22,lower,al,Republican,,,,,
ALL000088,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000088,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000088,committee member,2011-2014,,lower,al,,ALC000026,Military and Veterans' Affairs,,,
ALL000088,committee member,2011-2014,,lower,al,,ALC000013,Madison County Legislation,,,
ALL000090,member,2011-2014,97,lower,al,Democratic,,,,,
ALL000090,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000090,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000090,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000090,committee member,2011-2014,,lower,al,,ALC000002,Mobile County Legislation,,,
ALL000091,member,2011-2014,77,lower,al,Democratic,,,,,
ALL000091,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000091,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000091,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000092,member,2011-2014,37,lower,al,Independent,,,,,
ALL000092,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000092,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000092,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000093,member,2011-2014,86,lower,al,Republican,,,,,
ALL000093,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000093,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000093,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000094,member,2011-2014,39,lower,al,Democratic,,,,,
ALL000094,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000094,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000096,member,2011-2014,74,lower,al,Republican,,,,,
ALL000096,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000096,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000097,member,2011-2014,31,lower,al,Republican,,,,,
ALL000097,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000097,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000097,committee member,2011-2014,,lower,al,,ALC000011,Internal Affairs,,,
ALL000098,member,2011-2014,56,lower,al,Democratic,,,,,
ALL000098,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000098,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000098,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000099,member,2011-2014,71,lower,al,Democratic,,,,,
ALL000099,committee member,2011-2014,,lower,al,,ALC000018,Agriculture and Forestry,,,
ALL000099,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000099,committee member,2011-2014,,lower,al,,ALC000023,Tuscaloosa County Legislation,,,
ALL000100,member,2011-2014,76,lower,al,Democratic,,,,,
ALL000100,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000100,committee member,2011-2014,,lower,al,,ALC000027,Financial Services,,,
ALL000100,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000101,member,2011-2014,50,lower,al,Republican,,,,,
ALL000101,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000101,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000101,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000101,committee member,2011-2014,,lower,al,,ALC000029,Shelby County Legislation,,,
ALL000102,member,2011-2014,43,lower,al,Republican,,,,,
ALL000102,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000102,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000102,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000103,member,2011-2014,25,lower,al,Republican,,,,,
