leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
ALL000073,Dexter Grimsley,Dexter,,Grimsley,,,True,al,lower,85,Democratic,5b3b3389948b436f825e366c1ee39d2e,http://www.legislature.state.al.us/graphics/housepics/grimsley_d.jpg,2011-12-07 21:20:44.876000,2013-03-01 00:35:24.254000
ALL000037,Mike Ball,Mike,,Ball,,,True,al,lower,10,Republican,61014fab69f54411a9a16cee64a2e1bf,http://www.legislature.state.al.us/graphics/housepics/ball_m.jpeg,2011-12-07 21:20:44.449000,2013-03-01 00:35:24.255000
ALL000141,Mack Butler,Mack,,Butler,,,True,al,lower,30,Republican,,,2012-12-20 00:05:36.025000,2013-03-01 00:35:24.258000
ALL000040,Richard Baughn,Richard,,Baughn,,,True,al,lower,14,Republican,ca11e83e9ca24c5b85809e82f4c69992,http://www.legislature.state.al.us/graphics/housepics/baugh_r.jpg,2011-12-07 21:20:44.479000,2013-03-01 00:35:24.259000
ALL000049,K.L. Brown,K.L.,,Brown,,,True,al,lower,40,Republican,1325f4637c20474c8df15fd06eeff193,http://www.legislature.state.al.us/graphics/housepics/brown_kl.jpeg,2011-12-07 21:20:44.572000,2013-03-01 00:35:24.264000
ALL000057,Terri Collins,Terri,,Collins,,,True,al,lower,8,Republican,dec0deb8991f4c85a3d55118c03483ff,http://www.legislature.state.al.us/graphics/housepics/collins_t.jpg,2011-12-07 21:20:44.656000,2013-03-01 00:35:24.265000
ALL000060,Paul DeMarco,Paul,,DeMarco,,,True,al,lower,46,Republican,e5579fa035e840668565b433780d275a,http://www.legislature.state.al.us/graphics/housepics/demarco_p.jpeg,2011-12-07 21:20:44.686000,2013-03-01 00:35:24.268000
ALL000061,Dickie Drake,Dickie,,Drake,,,True,al,lower,45,Republican,91344c9f9ade4b8db0e76181609058ed,http://www.legislature.state.al.us/graphics/housepics/drake_d.jpg,2011-12-07 21:20:44.696000,2013-03-01 00:35:24.270000
ALL000062,Chris England,Chris,,England,,,True,al,lower,70,Democratic,566838e0637c4187aa5dc7070ac1ddab,http://www.legislature.state.al.us/graphics/housepics/england_c.jpeg,2011-12-07 21:20:44.706000,2013-03-01 00:35:24.253000
ALL000063,Allen Farley,Allen,,Farley,,,True,al,lower,15,Republican,24ed367736f848d5b188932c7aebba2e,http://www.legislature.state.al.us/graphics/housepics/farley_a.jpg,2011-12-07 21:20:44.716000,2013-03-01 00:35:24.228000
ALL000070,Juandalynn Givan,Juandalynn,,Givan,,,True,al,lower,60,Democratic,68e1b02e4ac449b3922911e54fad19da,http://www.legislature.state.al.us/graphics/housepics/givan_j.jpg,2011-12-07 21:20:44.846000,2013-03-01 00:35:24.271000
ALL000076,Alan Harper,Alan,,Harper,,,True,al,lower,61,Republican,9058392ae0af44e1a30f5e7363d86627,http://www.legislature.state.al.us/graphics/housepics/harper_a.jpeg,2011-12-07 21:20:44.906000,2013-03-01 00:35:24.226000
ALL000077,Ed Henry,Ed,,Henry,,,True,al,lower,9,Republican,d9b40e5c55d54f8ab961444a8507e56e,http://www.legislature.state.al.us/graphics/housepics/henry_e.jpg,2011-12-07 21:20:44.916000,2013-03-01 00:35:24.273000
ALL000078,Mike Hill,Mike,,Hill,,,True,al,lower,41,Republican,2dba95d1d4464035b411f48aa2400404,http://www.legislature.state.al.us/graphics/housepics/hill_m.jpeg,2011-12-07 21:20:44.926000,2013-03-01 00:35:24.274000
ALL000080,Ralph Howard,Ralph,,Howard,,,True,al,lower,72,Democratic,70f9fe0d27e64fc89bd229629bbe2a9b,http://www.legislature.state.al.us/graphics/housepics/howard_r.jpeg,2011-12-07 21:20:44.948000,2013-03-01 00:35:24.275000
ALL000081,Joe Hubbard,Joe,,Hubbard,,,True,al,lower,73,Democratic,e80eb8f2414a4789bed128bae28c1f60,http://www.legislature.state.al.us/graphics/housepics/hubbard_j.jpg,2011-12-07 21:20:44.958000,2013-03-01 00:35:24.276000
ALL000083,Steve Hurst,Steve,,Hurst,,,True,al,lower,35,Republican,c216436ff77245db8231fa52eef5d654,http://www.legislature.state.al.us/graphics/housepics/hurst_s.jpeg,2011-12-07 21:20:44.978000,2013-03-01 00:35:24.278000
