state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wa,2013-2014,upper,SB 5389,Concerning sibling visitation for children in foster care.,2013-01-30 02:27:49.437000,2013-02-26 04:25:55.293000,bill,Legal Issues|Family and Children Issues
wa,2013-2014,upper,SB 5390,Establishing the educational achievement and tuition reduction incentive program.,2013-01-30 02:27:48.514000,2013-02-15 04:03:45.111000,bill,State Agencies|Education
wa,2013-2014,upper,SB 5391,Concerning an exemption from discover pass requirements for off-road vehicles.,2013-01-30 02:27:48.510000,2013-02-20 04:19:09.529000,bill,Environmental|Recreation|Transportation|Public Services
wa,2013-2014,upper,SB 5392,Limiting the impact of excess compensation on state retirement system contribution rates.,2013-01-30 02:27:47.438000,2013-03-01 04:32:16.492000,bill,Labor and Employment
wa,2013-2014,upper,SB 5393,Extending apprenticeship utilization requirements.,2013-01-30 02:27:47.433000,2013-02-15 04:03:17.171000,bill,"Commerce|Public Services|Municipal and County Issues|Energy|Labor and Employment|Health|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Animal Rights and Wildlife Issues"
wa,2013-2014,upper,SB 5394,Requiring use of resident workers on public works.,2013-01-30 02:27:48.551000,2013-02-15 04:03:45.398000,bill,"Commerce|Public Services|Municipal and County Issues|Energy|Labor and Employment|Health|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Animal Rights and Wildlife Issues"
wa,2013-2014,upper,SB 5395,Extending the application of prevailing wage requirements.,2013-01-30 02:27:48.547000,2013-02-20 04:19:09.782000,bill,"Commerce|Public Services|Municipal and County Issues|Energy|Labor and Employment|Health|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Animal Rights and Wildlife Issues"
wa,2013-2014,upper,SB 5396,Concerning limited on-premise spirits sampling.,2013-01-30 02:27:48.559000,2013-02-28 04:37:08.723000,bill,Other
wa,2013-2014,upper,SB 5397,Establishing outcome measures for the community mental health service delivery system.,2013-01-30 02:27:48.555000,2013-02-15 04:03:45.464000,bill,Health
wa,2013-2014,upper,SB 5398,Concerning the provision of and reimbursement for certain court interpreter services.,2013-01-30 02:27:47.126000,2013-02-20 04:18:33.692000,bill,Labor and Employment|Legal Issues
wa,2013-2014,upper,SB 5399,Addressing the timing of penalties under the growth management act.,2013-01-30 02:27:47.122000,2013-02-28 04:36:40.089000,bill,Environmental|Public Services|Other
wa,2013-2014,upper,SB 5400,"Allowing utilities serving customers in Washington and in other states to use eligible renewable resources located within the western electricity coordinating council area to comply with chapter 19.285 RCW, the energy independence act.",2013-01-30 02:27:46.845000,2013-02-28 04:36:32.198000,bill,Energy|Public Services
wa,2013-2014,upper,SB 5401,"Concerning the ability of the department of social and health services, the department of early learning, and the health care authority to establish and enforce debts against vendors who attempt to avoid responsibility for satisfying overpayment debts by creating new entities.",2013-01-30 02:27:46.841000,2013-02-15 04:03:06.039000,bill,State Agencies|Education|Health
wa,2013-2014,upper,SB 5402,Allowing residents of total confinement facilities and secure community transition facilities to engage in therapeutic occupational assignments within the confines of McNeil Island.,2013-01-30 02:27:46.854000,2013-02-20 04:18:20.590000,bill,Health|Crime
wa,2013-2014,upper,SB 5403,Concerning the enforcement powers of the office of financial recovery.,2013-01-30 02:27:46.851000,2013-02-22 04:26:51.206000,bill,State Agencies|Education|Health|Public Services|Family and Children Issues
wa,2013-2014,upper,SB 5404,Concerning the introduction of contraband into or possession of contraband in a secure facility.,2013-01-30 02:27:46.862000,2013-02-20 04:18:20.749000,bill,Health|Legal Issues|Crime
wa,2013-2014,upper,SB 5405,Concerning extended foster care services.,2013-01-30 02:27:46.858000,2013-03-01 04:32:05.433000,bill,Health|Legal Issues|Family and Children Issues
wa,2013-2014,upper,SB 5406,Concerning local government compliance with the growth management act.,2013-01-30 02:27:46.870000,2013-02-20 04:18:20.921000,bill,Environmental|Other|Municipal and County Issues
wa,2013-2014,upper,SB 5407,Concerning electronic filing of pollutant discharge elimination permit system applications.,2013-01-30 02:27:46.866000,2013-02-26 04:24:50.606000,bill,Environmental|State Agencies
wa,2013-2014,upper,SB 5408,Modifying the definition of nonpower attributes in the energy independence act.,2013-01-30 02:27:46.878000,2013-02-27 04:38:45.704000,bill,Energy|Public Services
wa,2013-2014,upper,SB 5409,Extending the sales and use tax exemption of machinery and equipment that generate electricity from specified sources.,2013-01-30 02:27:46.874000,2013-02-15 04:03:06.581000,bill,"Energy|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5410,Concerning metropolitan park district property tax levies.,2013-01-30 02:27:47.703000,2013-02-20 04:18:47.826000,bill,"Environmental|Public Services|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5411,Requiring the ballot proposition to reduce the terms of office of port commissioners to be submitted at the next general election.,2013-01-30 02:27:47.707000,2013-02-28 04:36:49.350000,bill,Transportation
wa,2013-2014,upper,SB 5412,Adding incremental hydroelectricity that is marketed by the Bonneville power administration to the definition of an eligible renewable resource for the purposes of chapter 19.285 RCW.,2013-01-30 02:27:48.149000,2013-02-22 04:27:22.801000,bill,Energy|Public Services
wa,2013-2014,upper,SB 5413,Expanding metal theft provisions.,2013-01-30 02:27:48.153000,2013-02-21 04:29:43.811000,bill,Other|Business and Consumers|Legal Issues|Crime
wa,2013-2014,upper,SB 5414,Regarding the requirements of allopathic physician licensure.,2013-01-30 02:27:47.689000,2013-02-20 04:18:47.539000,bill,Health
wa,2013-2014,upper,SB 5415,Updating and aligning with federal requirements hospital health care-associated infection rate reporting.,2013-01-30 02:27:47.693000,2013-02-20 04:18:47.602000,bill,Health
wa,2013-2014,upper,SB 5416,Concerning prescription information.,2013-01-30 02:27:47.681000,2013-02-28 04:36:48.719000,bill,Drugs|Health
wa,2013-2014,upper,SB 5417,Concerning the annexation of unincorporated territory within a code city.,2013-01-30 02:27:47.685000,2013-02-28 04:36:48.785000,bill,Municipal and County Issues
wa,2013-2014,upper,SB 5418,Concerning county property tax levies.,2013-01-30 02:27:48.142000,2013-02-28 04:37:01.144000,bill,"Health|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5419,Increasing the cap on small loans.,2013-01-30 02:27:48.145000,2013-02-15 04:03:39.238000,bill,"Commerce|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5420,Creating a two-year freeze on tuition rates at four-year institutions of higher education.,2013-01-30 02:27:46.884000,2013-02-20 04:18:22.547000,bill,Education
wa,2013-2014,upper,SB 5421,Changing enrollment forecasts and budgeting for institutions of higher education.,2013-01-30 02:27:47.130000,2013-02-15 04:03:16.242000,bill,Other|Education
wa,2013-2014,upper,SB 5422,Concerning telecommunications tax parity.,2013-01-31 02:45:02.221000,2013-02-22 04:26:58.606000,bill,"Health|Technology and Communication|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5423,Concerning the scope and costs of the diabetes epidemic in Washington.,2013-01-31 02:45:01.895000,2013-02-20 04:18:26.192000,bill,Health
wa,2013-2014,upper,SB 5424,Concerning paint stewardship.,2013-01-31 02:45:02.543000,2013-02-28 04:36:54.809000,bill,Public Services|Environmental|Other|Health|Technology and Communication|State Agencies|Business and Consumers
wa,2013-2014,upper,SB 5425,Concerning the entering of monetary judgments against defendants under the residential and manufactured/mobile home landlord-tenant acts.,2013-01-31 02:45:01.947000,2013-02-28 04:36:35.696000,bill,Housing and Property|Legal Issues
wa,2013-2014,upper,SB 5426,Concerning unlawful detainer.,2013-01-31 02:45:02.517000,2013-02-23 04:29:43.099000,bill,Housing and Property
wa,2013-2014,upper,SB 5427,Removing certain requirements for vehicle registration certificate applicants.,2013-01-31 02:45:02.507000,2013-02-20 04:18:50.386000,bill,Transportation
wa,2013-2014,upper,SB 5428,Creating initiatives in high schools to save lives in the event of cardiac arrest.,2013-01-31 02:45:02.652000,2013-02-15 04:03:36.131000,bill,Education|Health
wa,2013-2014,upper,SB 5429,Increasing accountability for the tax preferences for manufacturing machinery and equipment by requiring a net benefit to the state and deferring sales and use tax.,2013-01-31 02:45:02.648000,2013-02-20 04:18:55.773000,bill,"Technology and Communication|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5430,Modifying the distribution and use of aircraft excise taxes.,2013-01-31 02:45:01.926000,2013-02-20 04:18:28.449000,bill,"Transportation|Technology and Communication|Budget, Spending, and Taxes"
