vote_id,leg_id,name,vote
DEV00001040,DEL000007,Connor,yes
DEV00001040,DEL000014,Marshall,yes
DEV00001040,DEL000021,Venables,yes
DEV00001040,DEL000010,Hall-Long,other
DEV00001040,DEL000006,Cloutier,other
DEV00001041,DEL000037,Keeley,yes
DEV00001041,DEL000051,Schooley,yes
DEV00001041,DEL000023,Barbieri,yes
DEV00001041,DEL000052,Schwartzkopf,yes
DEV00001041,DEL000024,Bennett,yes
DEV00001041,DEL000053,Scott,yes
DEV00001041,DEL000040,Lavelle,yes
DEV00001041,DEL000054,B. Short,yes
DEV00001041,DEL000026,Bolden,yes
DEV00001041,DEL000055,D. Short,yes
DEV00001041,DEL000027,Brady,yes
DEV00001041,DEL000042,Longhurst,yes
DEV00001041,DEL000056,M. Smith,yes
DEV00001041,DEL000043,Manolakos,yes
DEV00001041,DEL000057,Viola,yes
DEV00001041,DEL000029,Carson,yes
DEV00001041,DEL000044,Miro,yes
DEV00001041,DEL000058,Walker,yes
DEV00001041,DEL000031,Heffernan,yes
DEV00001041,DEL000045,Mitchell,yes
DEV00001041,DEL000059,D.E. Williams,yes
DEV00001041,DEL000046,Mulrooney,yes
DEV00001041,DEL000060,D.P. Williams,yes
DEV00001041,DEL000033,Hudson,yes
DEV00001041,DEL000047,Osienski,yes
DEV00001041,DEL000061,Willis,yes
DEV00001041,DEL000035,J. Johnson,yes
DEV00001041,DEL000049,Peterman,yes
DEV00001041,DEL000030,Gilligan,yes
DEV00001041,DEL000036,Q. Johnson,yes
DEV00001041,DEL000050,Ramone,yes
DEV00001041,DEL000022,Atkins,no
DEV00001041,DEL000038,Kenton,no
DEV00001041,DEL000039,Kowalko,no
DEV00001041,DEL000025,Blakey,no
DEV00001041,DEL000041,Lee,no
DEV00001041,DEL000028,Briggs King,no
DEV00001041,DEL000032,Hocker,no
DEV00001041,DEL000034,Jaques,no
DEV00001041,DEL000048,Outten,no
DEV00001041,DEL000062,Wilson,no
DEV00001042,DEL000001,Blevins,yes
DEV00001042,DEL000008,DeLuca,yes
DEV00001042,DEL000015,McBride,yes
DEV00001042,DEL000002,Bonini,yes
DEV00001042,DEL000009,Ennis,yes
DEV00001042,DEL000016,McDowell,yes
DEV00001042,DEL000003,Booth,yes
DEV00001042,DEL000010,Hall-Long,yes
DEV00001042,DEL000017,Peterson,yes
DEV00001042,DEL000004,Bunting,yes
DEV00001042,DEL000018,Simpson,yes
DEV00001042,DEL000005,Bushweller,yes
DEV00001042,DEL000012,Katz,yes
DEV00001042,DEL000019,Sokola,yes
DEV00001042,DEL000006,Cloutier,yes
DEV00001042,DEL000013,Lawson,yes
DEV00001042,DEL000020,Sorenson,yes
DEV00001042,DEL000007,Connor,yes
DEV00001042,DEL000014,Marshall,yes
DEV00001042,DEL000021,Venables,yes
DEV00001042,DEL000011,Henry,other
DEV00001043,DEL000022,Atkins,yes
DEV00001043,DEL000037,Keeley,yes
DEV00001043,DEL000051,Schooley,yes
DEV00001043,DEL000023,Barbieri,yes
DEV00001043,DEL000038,Kenton,yes
DEV00001043,DEL000052,Schwartzkopf,yes
DEV00001043,DEL000024,Bennett,yes
DEV00001043,DEL000039,Kowalko,yes
DEV00001043,DEL000053,Scott,yes
DEV00001043,DEL000025,Blakey,yes
DEV00001043,DEL000040,Lavelle,yes
DEV00001043,DEL000054,B. Short,yes
DEV00001043,DEL000026,Bolden,yes
DEV00001043,DEL000041,Lee,yes
DEV00001043,DEL000055,D. Short,yes
DEV00001043,DEL000027,Brady,yes
DEV00001043,DEL000042,Longhurst,yes
DEV00001043,DEL000056,M. Smith,yes
DEV00001043,DEL000028,Briggs King,yes
DEV00001043,DEL000043,Manolakos,yes
DEV00001043,DEL000057,Viola,yes
DEV00001043,DEL000029,Carson,yes
DEV00001043,DEL000044,Miro,yes
DEV00001043,DEL000058,Walker,yes
DEV00001043,DEL000031,Heffernan,yes
DEV00001043,DEL000045,Mitchell,yes
DEV00001043,DEL000059,D.E. Williams,yes
DEV00001043,DEL000032,Hocker,yes
DEV00001043,DEL000046,Mulrooney,yes
DEV00001043,DEL000060,D.P. Williams,yes
DEV00001043,DEL000033,Hudson,yes
DEV00001043,DEL000047,Osienski,yes
DEV00001043,DEL000061,Willis,yes
DEV00001043,DEL000034,Jaques,yes
DEV00001043,DEL000048,Outten,yes
DEV00001043,DEL000062,Wilson,yes
DEV00001043,DEL000035,J. Johnson,yes
DEV00001043,DEL000049,Peterman,yes
DEV00001043,DEL000030,Gilligan,yes
DEV00001043,DEL000036,Q. Johnson,yes
DEV00001043,DEL000050,Ramone,yes
DEV00001044,DEL000001,Blevins,yes
DEV00001044,DEL000008,DeLuca,yes
DEV00001044,DEL000015,McBride,yes
DEV00001044,DEL000009,Ennis,yes
DEV00001044,DEL000016,McDowell,yes
DEV00001044,DEL000003,Booth,yes
DEV00001044,DEL000010,Hall-Long,yes
DEV00001044,DEL000017,Peterson,yes
DEV00001044,DEL000004,Bunting,yes
DEV00001044,DEL000011,Henry,yes
DEV00001044,DEL000005,Bushweller,yes
DEV00001044,DEL000012,Katz,yes
DEV00001044,DEL000019,Sokola,yes
DEV00001044,DEL000006,Cloutier,yes
DEV00001044,DEL000013,Lawson,yes
DEV00001044,DEL000020,Sorenson,yes
DEV00001044,DEL000007,Connor,yes
DEV00001044,DEL000014,Marshall,yes
DEV00001044,DEL000021,Venables,yes
DEV00001044,DEL000002,Bonini,no
DEV00001044,DEL000018,Simpson,no
DEV00001045,DEL000022,Atkins,yes
DEV00001045,DEL000037,Keeley,yes
DEV00001045,DEL000051,Schooley,yes
DEV00001045,DEL000023,Barbieri,yes
DEV00001045,DEL000038,Kenton,yes
DEV00001045,DEL000052,Schwartzkopf,yes
DEV00001045,DEL000024,Bennett,yes
DEV00001045,DEL000039,Kowalko,yes
DEV00001045,DEL000053,Scott,yes
DEV00001045,DEL000025,Blakey,yes
DEV00001045,DEL000040,Lavelle,yes
DEV00001045,DEL000054,B. Short,yes
DEV00001045,DEL000026,Bolden,yes
DEV00001045,DEL000041,Lee,yes
DEV00001045,DEL000055,D. Short,yes
DEV00001045,DEL000027,Brady,yes
DEV00001045,DEL000042,Longhurst,yes
DEV00001045,DEL000056,M. Smith,yes
DEV00001045,DEL000028,Briggs King,yes
DEV00001045,DEL000043,Manolakos,yes
DEV00001045,DEL000057,Viola,yes
DEV00001045,DEL000029,Carson,yes
DEV00001045,DEL000044,Miro,yes
DEV00001045,DEL000058,Walker,yes
DEV00001045,DEL000031,Heffernan,yes
DEV00001045,DEL000045,Mitchell,yes
DEV00001045,DEL000059,D.E. Williams,yes
DEV00001045,DEL000032,Hocker,yes
DEV00001045,DEL000046,Mulrooney,yes
DEV00001045,DEL000060,D.P. Williams,yes
DEV00001045,DEL000033,Hudson,yes
DEV00001045,DEL000047,Osienski,yes
DEV00001045,DEL000061,Willis,yes
DEV00001045,DEL000034,Jaques,yes
DEV00001045,DEL000048,Outten,yes
DEV00001045,DEL000062,Wilson,yes
DEV00001045,DEL000035,J. Johnson,yes
DEV00001045,DEL000049,Peterman,yes
DEV00001045,DEL000030,Gilligan,yes
DEV00001045,DEL000036,Q. Johnson,yes
DEV00001045,DEL000050,Ramone,yes
DEV00001046,DEL000001,Blevins,yes
DEV00001046,DEL000008,DeLuca,yes
DEV00001046,DEL000015,McBride,yes
DEV00001046,DEL000009,Ennis,yes
DEV00001046,DEL000016,McDowell,yes
DEV00001046,DEL000017,Peterson,yes
DEV00001046,DEL000004,Bunting,yes
DEV00001046,DEL000011,Henry,yes
DEV00001046,DEL000018,Simpson,yes
DEV00001046,DEL000005,Bushweller,yes
DEV00001046,DEL000012,Katz,yes
DEV00001046,DEL000019,Sokola,yes
DEV00001046,DEL000006,Cloutier,yes
DEV00001046,DEL000013,Lawson,yes
DEV00001046,DEL000020,Sorenson,yes
DEV00001046,DEL000007,Connor,yes
DEV00001046,DEL000014,Marshall,yes
DEV00001046,DEL000021,Venables,yes
DEV00001046,DEL000002,Bonini,no
DEV00001046,DEL000003,Booth,no
DEV00001046,DEL000010,Hall-Long,other
DEV00001047,DEL000001,Blevins,yes
DEV00001047,DEL000008,DeLuca,yes
DEV00001047,DEL000015,McBride,yes
DEV00001047,DEL000002,Bonini,yes
DEV00001047,DEL000009,Ennis,yes
DEV00001047,DEL000003,Booth,yes
DEV00001047,DEL000010,Hall-Long,yes
DEV00001047,DEL000017,Peterson,yes
DEV00001047,DEL000004,Bunting,yes
DEV00001047,DEL000011,Henry,yes
DEV00001047,DEL000018,Simpson,yes
DEV00001047,DEL000005,Bushweller,yes
DEV00001047,DEL000012,Katz,yes
DEV00001047,DEL000019,Sokola,yes
DEV00001047,DEL000006,Cloutier,yes
DEV00001047,DEL000013,Lawson,yes
DEV00001047,DEL000020,Sorenson,yes
DEV00001047,DEL000007,Connor,yes
DEV00001047,DEL000014,Marshall,yes
DEV00001047,DEL000021,Venables,yes
DEV00001047,DEL000016,McDowell,other
DEV00001048,DEL000022,Atkins,yes
DEV00001048,DEL000037,Keeley,yes
DEV00001048,DEL000051,Schooley,yes
DEV00001048,DEL000023,Barbieri,yes
DEV00001048,DEL000038,Kenton,yes
DEV00001048,DEL000052,Schwartzkopf,yes
DEV00001048,DEL000024,Bennett,yes
DEV00001048,DEL000039,Kowalko,yes
DEV00001048,DEL000053,Scott,yes
DEV00001048,DEL000025,Blakey,yes
DEV00001048,DEL000040,Lavelle,yes
DEV00001048,DEL000054,B. Short,yes
DEV00001048,DEL000026,Bolden,yes
DEV00001048,DEL000041,Lee,yes
DEV00001048,DEL000055,D. Short,yes
DEV00001048,DEL000027,Brady,yes
DEV00001048,DEL000042,Longhurst,yes
DEV00001048,DEL000056,M. Smith,yes
DEV00001048,DEL000028,Briggs King,yes
DEV00001048,DEL000043,Manolakos,yes
DEV00001048,DEL000057,Viola,yes
DEV00001048,DEL000029,Carson,yes
DEV00001048,DEL000044,Miro,yes
DEV00001048,DEL000058,Walker,yes
DEV00001048,DEL000031,Heffernan,yes
DEV00001048,DEL000045,Mitchell,yes
DEV00001048,DEL000059,D.E. Williams,yes
DEV00001048,DEL000032,Hocker,yes
DEV00001048,DEL000046,Mulrooney,yes
DEV00001048,DEL000060,D.P. Williams,yes
DEV00001048,DEL000033,Hudson,yes
DEV00001048,DEL000047,Osienski,yes
DEV00001048,DEL000061,Willis,yes
DEV00001048,DEL000034,Jaques,yes
DEV00001048,DEL000048,Outten,yes
DEV00001048,DEL000062,Wilson,yes
DEV00001048,DEL000035,J. Johnson,yes
DEV00001048,DEL000049,Peterman,yes
DEV00001048,DEL000030,Gilligan,yes
DEV00001048,DEL000036,Q. Johnson,yes
DEV00001048,DEL000050,Ramone,yes
DEV00001049,DEL000001,Blevins,yes
DEV00001049,DEL000008,DeLuca,yes
DEV00001049,DEL000015,McBride,yes
DEV00001049,DEL000009,Ennis,yes
DEV00001049,DEL000016,McDowell,yes
DEV00001049,DEL000010,Hall-Long,yes
DEV00001049,DEL000017,Peterson,yes
DEV00001049,DEL000004,Bunting,yes
DEV00001049,DEL000011,Henry,yes
DEV00001049,DEL000018,Simpson,yes
DEV00001049,DEL000005,Bushweller,yes
DEV00001049,DEL000012,Katz,yes
DEV00001049,DEL000019,Sokola,yes
DEV00001049,DEL000006,Cloutier,yes
DEV00001049,DEL000020,Sorenson,yes
DEV00001049,DEL000007,Connor,yes
DEV00001049,DEL000014,Marshall,yes
DEV00001049,DEL000021,Venables,yes
DEV00001049,DEL000002,Bonini,no
DEV00001049,DEL000003,Booth,no
DEV00001049,DEL000013,Lawson,other
DEV00001050,DEL000022,Atkins,yes
DEV00001050,DEL000037,Keeley,yes
DEV00001050,DEL000051,Schooley,yes
DEV00001050,DEL000023,Barbieri,yes
DEV00001050,DEL000038,Kenton,yes
DEV00001050,DEL000052,Schwartzkopf,yes
DEV00001050,DEL000024,Bennett,yes
DEV00001050,DEL000039,Kowalko,yes
DEV00001050,DEL000053,Scott,yes
DEV00001050,DEL000025,Blakey,yes
DEV00001050,DEL000040,Lavelle,yes
DEV00001050,DEL000054,B. Short,yes
DEV00001050,DEL000026,Bolden,yes
DEV00001050,DEL000041,Lee,yes
DEV00001050,DEL000055,D. Short,yes
DEV00001050,DEL000027,Brady,yes
DEV00001050,DEL000042,Longhurst,yes
DEV00001050,DEL000056,M. Smith,yes
DEV00001050,DEL000028,Briggs King,yes
DEV00001050,DEL000043,Manolakos,yes
DEV00001050,DEL000057,Viola,yes
DEV00001050,DEL000029,Carson,yes
DEV00001050,DEL000044,Miro,yes
DEV00001050,DEL000058,Walker,yes
DEV00001050,DEL000031,Heffernan,yes
DEV00001050,DEL000045,Mitchell,yes
DEV00001050,DEL000059,D.E. Williams,yes
DEV00001050,DEL000032,Hocker,yes
DEV00001050,DEL000046,Mulrooney,yes
DEV00001050,DEL000060,D.P. Williams,yes
DEV00001050,DEL000033,Hudson,yes
DEV00001050,DEL000047,Osienski,yes
DEV00001050,DEL000061,Willis,yes
DEV00001050,DEL000034,Jaques,yes
DEV00001050,DEL000048,Outten,yes
DEV00001050,DEL000062,Wilson,yes
DEV00001050,DEL000035,J. Johnson,yes
DEV00001050,DEL000049,Peterman,yes
DEV00001050,DEL000030,Gilligan,yes
