state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ne,102,upper,LB 1036,Provide for a cash balance benefit election for certain county and state employees and create county and state retirement funds,2012-08-31 01:32:30.978000,2012-09-01 01:31:12.501000,bill,
ne,102,upper,LB 1037,Change matching requirements for arts funding,2012-08-31 01:32:31.003000,2012-09-01 01:31:12.510000,bill,
ne,102,upper,LB 1038,Provide for a lead poisoning prevention program for children,2012-08-31 01:32:31.081000,2012-09-01 01:31:12.515000,bill,
ne,102,upper,LB 1039,Change provisions relating to school bus safety requirements,2012-08-31 01:32:31.203000,2012-09-01 01:31:12.529000,bill,
ne,102,upper,LB 104,Change certain vehicle weight provisions,2011-09-22 17:37:51.025000,2012-09-01 01:30:57.843000,bill,
ne,102,upper,LB 1040,Change provisions relating to snow removal on state highways and encroachments and regulation of state rights-of-way,2012-08-31 01:32:31.215000,2012-09-01 01:31:12.535000,bill,
ne,102,upper,LB 1041,Adopt the Department of Health and Human Services Delivery Improvement and Efficiency Act,2012-08-31 01:32:31.237000,2012-09-01 01:31:12.538000,bill,
ne,102,upper,LB 1042,Authorize nurse practitioners to sign death certificates,2012-08-31 01:32:31.304000,2012-09-01 01:31:12.543000,bill,
ne,102,upper,LB 1043,Eliminate provisions relating to contracts or agreements for discounted rates involving public power districts,2012-08-31 01:32:31.351000,2012-09-01 01:31:12.564000,bill,
ne,102,upper,LB 1044,Provide for Public Service Commission regulation of hazardous liquid pipeline facilities,2012-08-31 01:32:31.361000,2012-09-01 01:31:12.569000,bill,
ne,102,upper,LB 1045,Authorize school district expenditures in case of disaster or emergency as prescribed,2012-08-31 01:32:31.371000,2012-09-01 01:31:12.572000,bill,
ne,102,upper,LB 1046,Change provisions relating to law enforcement certification and continuing education,2012-08-31 01:32:31.446000,2012-09-01 01:31:12.575000,bill,
ne,102,upper,LB 1046A,Appropriation Bill,2012-08-31 01:32:31.472000,2012-09-01 01:31:12.596000,bill,
ne,102,upper,LB 1047,Require safe injection practices as prescribed,2012-08-31 01:32:31.481000,2012-09-01 01:31:12.599000,bill,
ne,102,upper,LB 1048,Increase an appropriation for nurse visitation services as prescribed,2012-08-31 01:32:31.498000,2012-09-01 01:31:12.603000,bill,
ne,102,upper,LB 1049,Create and change provisions relating to the purchase of certain metals,2012-08-31 01:32:31.611000,2012-09-01 01:31:12.613000,bill,
ne,102,upper,LB 105,Change restrictions on operation of motorboats and personal watercraft,2011-09-22 17:37:51.036000,2012-09-01 01:30:57.857000,bill,
ne,102,upper,LB 1050,Provide for identification requirements for importation of certain cattle,2012-08-31 01:32:31.695000,2012-09-01 01:31:12.624000,bill,
ne,102,upper,LB 1051,Change registry provisions regarding adult protective services and child protection cases,2012-08-31 01:32:31.719000,2012-09-01 01:31:12.633000,bill,
